"day","date","ccpue"
-10,2016-05-21,0.00798608129807952
-9,2016-05-22,0.00942015707333926
-8,2016-05-23,0.0111088687744813
-7,2016-05-24,0.0130963063534318
-6,2016-05-25,0.0154337580928613
-5,2016-05-26,0.0181807168102362
-4,2016-05-27,0.0214059599109486
-3,2016-05-28,0.0251886795831218
-2,2016-05-29,0.0296196239115259
-1,2016-05-30,0.0348021888728881
0,2016-05-31,0.0408533741328288
1,2016-06-01,0.0479044816741154
2,2016-06-02,0.0561013956197236
3,2016-06-03,0.0656042355233732
4,2016-06-04,0.0765861273156009
5,2016-06-05,0.0892307925120114
6,2016-06-06,0.10372862780042
7,2016-06-07,0.120270949135762
8,2016-06-08,0.139042127064675
9,2016-06-09,0.160209466021198
10,2016-06-10,0.183910900748437
11,2016-06-11,0.21024090878653
12,2016-06-12,0.239235458840117
13,2016-06-13,0.270857287133104
14,2016-06-14,0.304983232624155
15,2016-06-15,0.341395644622989
16,2016-06-16,0.379779864974438
17,2016-06-17,0.419729370763871
18,2016-06-18,0.460759312500384
19,2016-06-19,0.502327991419565
20,2016-06-20,0.54386451322023
21,2016-06-21,0.584799742120257
22,2016-06-22,0.624597053723525
23,2016-06-23,0.662779423883818
24,2016-06-24,0.698950082448465
25,2016-06-25,0.732805111615339
26,2016-06-26,0.764137676573193
27,2016-06-27,0.792834738351535
28,2016-06-28,0.818867903362485
29,2016-06-29,0.842280431635536
30,2016-06-30,0.863172397793968
31,2016-07-01,0.881685691838341
32,2016-07-02,0.89799009878006
33,2016-07-03,0.912271226188714
34,2016-07-04,0.924720637016025
35,2016-07-05,0.935528231042791
36,2016-07-06,0.944876709251335
37,2016-07-07,0.952937838747453
38,2016-07-08,0.959870190029116
39,2016-07-09,0.965818020716189
40,2016-07-10,0.970911010705536
41,2016-07-11,0.975264598242887
42,2016-07-12,0.978980714521516
43,2016-07-13,0.982148760026219
44,2016-07-14,0.984846705787226
45,2016-07-15,0.987142235820175
46,2016-07-16,0.989093873335005
47,2016-07-17,0.990752053470422
48,2016-07-18,0.992160120295428
49,2016-07-19,0.993355236607507
50,2016-07-20,0.994369202568087
